"Name","IPv4Address","LastlogonDate","OperatingSystem","Description"
"DQDPC002","10.0.7.35","23/10/2023 08:00:59","Windows 7 Professional",
"DPDPC024","10.0.7.79","08/01/2024 12:02:15","Windows 7 Professional",
"DVM002","10.0.7.186","24/05/2017 10:59:05","Windows 7 Professional",
"DCDPC004","10.0.7.8","15/01/2024 12:39:02","Windows 7 Professional",
"DFTPC008","10.0.7.102","09/01/2024 07:57:03","Windows 7 Professional",
"DFERPC007","10.0.7.21","09/01/2024 04:55:45","Windows 7 Professional",
"DMANNB001","10.0.7.89","15/12/2023 15:32:23","Windows 7 Professional",
"DQDPC003","10.0.7.33","08/01/2024 13:33:09","Windows 7 Professional",
"DRHPC005","10.0.7.159","10/01/2024 11:32:44","Windows 7 Professional",
"DTVPC043",,"22/07/2013 09:10:25","Windows 7 Professional",
"DTVPC035",,"06/09/2013 15:01:16","Windows 7 Professional",
"DFATPC002","10.0.7.87","08/01/2024 07:46:56","Windows 7 Professional",
"DTVPC030",,"09/03/2015 08:40:18","Windows 7 Professional",
"DFNPC010","10.0.7.56","08/01/2024 07:57:28","Windows 7 Professional",
"DTVPC017",,"27/10/2016 08:44:02","Windows 7 Professional",
"DREPC002","10.0.7.94","15/01/2024 09:54:04","Windows 7 Professional",
"DVDPC008",,"08/09/2014 07:55:46","Windows 7 Professional",
"DMANPC003","10.0.7.123","09/01/2024 11:30:57","Windows 7 Professional",
"DVDPC60",,"27/10/2014 12:53:55","Windows 7 Professional",
"DTVPC056","10.0.7.172","11/09/2023 09:29:33","Windows 7 Professional",
"DVDPC010",,"18/05/2015 14:08:36","Windows 7 Professional",
"DTVPC036",,"18/09/2014 16:47:49","Windows 7 Professional",
"DFNPC018","10.0.7.165","11/01/2024 10:14:09","Windows 7 Professional",
"DVDPC012",,"15/02/2014 12:13:41","Windows 7 Professional",
"DRBPC002","10.0.7.95","08/01/2024 08:00:48","Windows 7 Professional",
"DTVPC052",,"15/07/2013 09:54:42","Windows 7 Professional",
"DALPC005","10.0.7.146","08/01/2024 13:47:40","Windows 7 Professional",
"DTVPC049",,"11/01/2013 09:03:47","Windows 7 Professional",
"DGNPC002","10.0.7.56","15/01/2024 07:33:48","Windows 7 Professional",
"DJRPC001","10.0.7.122","15/01/2024 07:56:37","Windows 7 Professional",
"DSTPC003","10.0.7.5","12/01/2024 09:31:08","Windows 7 Professional",
"DPDPC005","10.0.7.96","09/01/2024 04:49:41","Windows 7 Professional",
"DCPPC006","10.0.7.158","09/01/2024 09:58:04","Windows 7 Professional",
"DTVPC059",,"06/07/2015 07:48:30","Windows 7 Professional",
"DTVPC057",,"04/08/2015 10:21:28","Windows 7 Professional",
"DTVPC026",,"24/11/2015 09:04:59","Windows 7 Professional",
"DTVPC046","10.0.7.157","02/03/2017 08:48:08","Windows 7 Professional",
"DTVPC061","10.0.7.29","19/01/2017 08:48:33","Windows 7 Professional",
"DTVPC054",,"19/08/2015 14:46:47","Windows 7 Professional",
"DCOPC005","10.10.0.95","12/01/2024 17:25:42","Windows 7 Professional",
"DTVPC080",,"27/07/2015 09:31:24","Windows 7 Professional",
"DTVPC067",,"14/10/2013 09:35:25","Windows 7 Professional",
"DCOPC002",,"09/03/2015 10:34:11","Windows 7 Professional",
"DCONT100","10.0.7.147","22/12/2016 10:01:49","Windows 7 Professional",
"DCOPC006","10.0.7.158","07/02/2017 13:47:45","Windows 7 Professional",
"DTVPC062","10.0.7.131","16/05/2019 15:59:50","Windows 7 Professional",
"DCOPC011","10.0.7.104","08/01/2024 07:56:59","Windows 7 Professional",
"DCDPC100","10.0.7.178","01/03/2019 04:56:03","Windows 7 Professional",
"DTVPC042","10.0.7.183","21/05/2019 09:14:32","Windows 7 Professional",
"DTVPC058","10.0.7.43","16/01/2024 09:58:23","Windows 7 Professional",
"BACKUPTI",,"24/04/2013 13:24:49","Windows 7 Professional",
"DCDPC001","10.0.7.79","23/02/2017 10:12:53","Windows 7 Professional",
"DADMPC025",,"24/11/2014 08:52:57","Windows 7 Professional",
"DCDPC012",,"13/04/2012 11:08:41","Windows 7 Professional",
"DFERPC004","10.0.7.146","22/11/2023 10:01:47","Windows 7 Professional",
"DTVPC055","10.0.7.131","17/10/2023 13:59:21","Windows 7 Professional",
"DGNPC011","10.0.7.73","08/01/2024 07:50:13","Windows 7 Professional",
"DCPPC001",,"16/11/2015 07:57:51","Windows 7 Professional",
"DCDPC011",,"15/08/2016 05:05:23","Windows 7 Professional",
"DTVPC015","10.0.7.138","15/05/2019 11:34:12","Windows 7 Professional",
"DTVPC027","10.0.7.69","17/05/2019 16:38:21","Windows 7 Professional",
"DMKPC013","10.0.7.23","18/12/2017 14:11:54","Windows 7 Professional",
"DTVPC041","10.0.7.124","08/01/2018 08:32:26","Windows 7 Professional",
"DGNPC003","10.0.7.103","08/02/2018 07:51:20","Windows 7 Professional",
"DBKPC017","10.0.7.3","12/06/2023 08:51:49","Windows 7 Professional",
"DFNPC015","10.0.7.122","09/10/2018 17:33:49","Windows 7 Professional",
"DFISPC001","10.0.7.168","02/04/2018 08:01:42","Windows 7 Professional",
"DTVPC029","10.0.7.179","20/05/2019 17:29:10","Windows 7 Professional",
"DFERNB001",,"25/10/2018 15:14:54","Windows 7 Professional",
"DMOPC02","10.0.7.58","28/02/2019 05:01:34","Windows 7 Professional",
"DVM005","10.0.8.11","11/04/2023 08:50:37","Windows 7 Professional",
"DFNPC021",,"19/05/2023 08:23:22","Windows 7 Professional",
"TIDURIN-PC","10.0.7.135","25/02/2019 15:58:24","Windows 7 Professional",
"DTVPC045",,"21/05/2019 14:29:48","Windows 7 Professional",
"DMANPC001","10.0.7.101","02/05/2023 08:01:49","Windows 7 Professional",
"DTVPC066","10.0.7.165","28/01/2019 10:01:03","Windows 7 Professional",
"DVDPC020","10.0.7.141","14/09/2023 14:18:51","Windows 7 Professional",
"DFTPC004","10.0.8.25","05/05/2023 15:10:11","Windows 7 Professional",
"DSTPC001","10.0.7.229","25/02/2016 06:38:42","Windows XP Professional",
"DTISV001","10.0.5.2","08/01/2024 16:05:10","Windows Server 2022 Standard",
"DSPPC002","10.10.0.200","16/05/2015 11:40:25","Windows XP Professional",
"DTIPC09",,"25/04/2012 11:33:07","Windows XP Professional",
"DTISV006","10.1.2.6","12/01/2024 09:40:06","Windows Server 2022 Standard",
"DTISV050","10.0.2.50","09/01/2024 18:36:11","Windows Server 2019 Standard",
"DTISV048","10.0.2.48","09/01/2024 02:54:25","Windows Server 2019 Standard",
"DTISV007","10.1.2.7","12/01/2024 08:50:05","Windows Server 2022 Standard",
"DTISV049","10.0.2.49","10/01/2024 01:56:25","Windows Server 2019 Standard",
"DTINB003","10.0.7.49","29/12/2017 16:21:27","Windows XP Professional",
"DTIPC014",,"04/11/2012 04:23:11","Windows XP Professional",
"DTIPC012",,"24/01/2013 14:33:11","Windows XP Professional",
"DTIPC009",,"02/10/2012 16:51:53","Windows XP Professional",
"GUARITA","10.0.7.81","12/04/2019 01:30:59","Windows XP Professional",
"DELPC001",,"11/08/2015 09:20:02","Windows XP Professional",
"DFNPC005",,"08/05/2012 08:05:07","Windows XP Professional",
"DVMFINPC001",,"15/05/2012 10:47:22","Windows XP Professional",
"DMVPC001","10.0.8.3","28/09/2020 15:38:53","Windows XP Professional",
"DTISV035","10.0.2.35","22/09/2015 14:17:42","Windows Server 2008 R2 Standard",
"DTISV041","10.0.2.41","06/01/2024 13:47:26","Windows Server 2008 R2 Enterprise",
"MINISAP",,"28/11/2013 09:31:26","Windows Server 2008 R2 Standard",
"DTISV034",,"22/09/2015 09:10:06","Windows Server 2008 R2 Standard",
"DTIVM003",,"06/02/2013 16:10:25","Windows 8 Release Preview",
"DFNPC017","10.0.7.135","12/01/2024 08:01:54","Windows 7 Professional",
"DCPPC002",,"15/05/2014 08:00:19","Windows 7 Professional",
"DVDPC007","10.0.7.210","08/01/2024 07:22:53","Windows 8 Pro",
"DVM003WIN8",,"05/03/2012 13:35:43","Windows 8 Consumer Preview",
"DTISV002","10.1.2.2","12/01/2024 07:54:05","Windows Server 2019 Standard",
"DTISV095","10.0.2.95","15/01/2024 09:09:51","Windows Server 2019 Standard",
"DTISV047","10.0.2.147","12/01/2024 08:50:14","Windows Server 2019 Standard",
"DTISV099","10.0.2.99","05/12/2022 12:10:53","Windows Server 2019 Standard",
"DTISV008","10.0.2.8","09/01/2024 09:44:11","Windows Server 2019 Standard",
"DTISV003","10.0.2.3","15/01/2024 18:36:37","Windows Server 2008 R2 Standard",
"DTISV032","10.0.2.32","15/01/2024 09:51:00","Windows Server 2008 R2 Standard",
"DTISV100","10.0.2.34","08/01/2024 17:14:06","Windows Server 2012 Standard",
"DTISV077",,"20/07/2015 16:11:32","Windows Server 2012 Standard",
"DCDPC003","10.0.8.34","07/06/2023 09:07:05","Windows 7 Professional",
"DTVPC003",,"28/06/2019 20:38:44","Windows 7 Professional",
"DPDPC010","10.0.7.116","13/10/2020 07:31:54","Windows 7 Professional",
"DMVPC002",,"13/12/2020 08:44:49","Windows 7 Professional",
"TESTE09","10.0.7.106","08/02/2021 15:01:09","Windows 7 Professional",
"DPDPC008","10.0.7.118","15/10/2020 07:03:04","Windows 7 Professional",
"DFERPC008","10.0.7.181","20/10/2020 11:24:10","Windows 7 Professional",
"DTVPC050",,"02/05/2019 11:07:21","Windows 7 Professional",
"DPDPC012","10.0.7.117","19/10/2020 08:05:14","Windows 7 Professional",
"DRHPC085","10.0.7.91","12/09/2019 07:54:16","Windows 7 Professional",
"DFCPC041",,"12/01/2015 13:28:04","Windows 7 Professional",
"DFCPC003",,"08/01/2015 08:38:45","Windows 7 Professional",
"DFNPC009",,"17/02/2015 07:59:37","Windows 7 Professional",
"DQDPC006","10.0.7.124","09/01/2024 07:51:07","Windows 7 Professional",
"DFNPC002",,"20/03/2013 15:16:45","Windows 7 Professional",
"DALPC004","10.0.7.58","29/10/2020 13:49:57","Windows 7 Professional",
"DBKPC008","10.0.7.10","17/07/2019 16:31:33","Windows 7 Professional",
"DFNPC007",,"07/02/2013 10:01:42","Windows 7 Professional",
"DFNPC006",,"12/02/2015 07:58:23","Windows 7 Professional",
"DTVPC009","10.0.7.73","13/05/2019 10:53:20","Windows 7 Professional",
"DTVPC016","10.0.7.79","13/05/2019 14:02:36","Windows 7 Professional",
"DFSPC001","10.0.7.40","04/06/2021 07:28:05","Windows 7 Professional",
"DPCPPC029","10.0.7.27","13/10/2020 07:50:15","Windows 7 Professional",
"DMKPC015","10.0.7.37","13/05/2019 08:05:49","Windows 7 Professional",
"DBKPC003","10.0.7.143","04/11/2019 09:30:28","Windows 7 Professional",
"DLGPC011",,"14/11/2019 14:33:54","Windows 7 Professional",
"DMOPC002","10.0.7.58","06/05/2019 17:05:41","Windows 7 Professional",
"DTVPC091",,"30/04/2019 17:14:40","Windows 7 Professional",
"DFERPC006","10.0.7.157","05/11/2021 14:07:14","Windows 7 Professional",
"DQDPC004","10.0.7.5","27/12/2021 14:10:50","Windows 7 Professional",
"DBKPC006","10.0.8.1","02/09/2021 13:32:06","Windows 7 Professional",
"DFNPC022","10.0.7.18","13/08/2021 13:25:24","Windows 7 Professional",
"DTVPC020",,"07/06/2019 11:03:29","Windows 7 Professional",
"DGUPC003","10.10.0.198","13/05/2021 17:28:03","Windows 7 Professional",
"DTVPC044",,"03/05/2019 10:13:02","Windows 7 Professional",
"DCONPC001",,"06/06/2019 14:29:02","Windows 7 Professional",
"TESTE-PC","10.0.7.134","08/04/2021 08:16:42","Windows 7 Professional",
"DFTPC010",,"10/12/2015 08:53:52","Windows 7 Professional",
"DLGPC004",,"13/03/2017 13:59:59","Windows 7 Professional",
"DFTPC009","10.0.7.115","15/01/2024 09:07:35","Windows 7 Professional",
"DTISV042","10.0.2.42","08/01/2024 23:33:43","Windows 7 Professional",
"DLGPC003",,"07/08/2014 10:16:41","Windows 7 Professional",
"DLGPC006",,"15/12/2014 08:26:41","Windows 7 Professional",
"DFTPC035",,"02/12/2015 13:50:58","Windows 7 Professional",
"DLGPC005",,"06/08/2015 14:41:27","Windows 7 Professional",
"DVDPC009","10.0.7.51","09/01/2024 07:29:19","Windows 7 Professional",
"DFNPC020","10.0.9.198","15/05/2017 08:10:00","Windows 7 Professional",
"DMKTPC001","10.0.7.67","10/01/2024 10:10:47","Windows 7 Professional",
"DCPPC003",,"17/11/2014 07:43:41","Windows 7 Professional",
"DFTPC001",,"09/12/2013 08:15:55","Windows 7 Professional",
"DFTPC007","10.0.7.1","05/06/2015 07:16:04","Windows 7 Professional",
"DFNPC011",,"22/04/2013 08:58:53","Windows 7 Professional",
"DFNPC014",,"29/08/2014 10:36:22","Windows 7 Professional",
"DFTPC003",,"27/08/2012 07:53:10","Windows 7 Professional",
"DTITEST042","10.0.7.103","15/01/2024 07:57:37","Windows 7 Professional",
"DPROPC031","10.0.7.61","27/07/2023 13:23:41","Windows 7 Professional",
"DCPPC030",,"15/12/2014 07:43:59","Windows 7 Professional",
"DCPPC004",,"10/08/2015 16:43:57","Windows 7 Professional",
"DFTPC006","10.0.7.96","25/07/2023 10:37:44","Windows 7 Professional",
"DCPPC025",,"19/10/2015 09:02:54","Windows 7 Professional",
"DFNPC008",,"09/03/2015 08:53:32","Windows 7 Professional",
"DTIPC006","10.0.7.140","11/12/2023 09:11:22","Windows 7 Professional",
"DTVPC012","10.0.7.116","14/05/2019 10:02:40","Windows 7 Professional",
"DCDPC007","10.0.7.38","12/01/2024 10:13:51","Windows 7 Professional",
"DLGPC002",,"05/01/2015 08:11:22","Windows 7 Professional",
"DGUPC001",,"02/01/2017 14:57:33","Windows 7 Professional",
"DFTPC012",,"28/02/2013 09:13:57","Windows 7 Professional",
"DQUPC002","10.0.7.97","09/01/2024 08:33:03","Windows 7 Professional",
"DCTPC001",,"13/08/2012 13:37:02","Windows 7 Professional",
"DCOPC100","10.0.7.146","08/01/2024 13:02:05","Windows 7 Professional",
"DFNPC019","10.0.7.60","08/01/2024 07:56:04","Windows 7 Professional",
"DCPPC031","10.0.7.114","17/04/2017 09:05:39","Windows 7 Professional",
"DMKTPC054","10.0.7.103","09/01/2024 07:09:40","Windows 7 Professional",
"DFATPC100","10.0.7.147","15/01/2024 08:24:05","Windows 7 Professional",
"DEXPC002","10.0.7.239","08/01/2024 07:21:45","Windows 10 Pro",
"DMKPC003","10.0.7.51","09/01/2024 07:28:15","Windows 10 Pro",
"DTVPC147","10.0.8.30","09/01/2024 08:45:37","Windows 10 Pro",
"DTVPC131","10.0.7.248","15/01/2024 09:07:20","Windows 10 Pro",
"DTVPC114","10.0.7.88","11/01/2024 15:49:32","Windows 10 Pro",
"DPRPC008","10.0.16.42","12/12/2023 15:03:33","Windows 10 Pro",
"DDIRMA002","10.1.7.10","28/12/2023 07:21:37","Windows 10 Pro",
"DDINB001","10.0.10.49","09/01/2024 15:59:45","Windows 10 Pro",
"DTVPC132","10.0.7.154","12/01/2024 08:56:32","Windows 10 Pro",
"DTVPC110","10.0.7.168","09/01/2024 08:29:21","Windows 10 Pro",
"DTVPC146","10.0.7.236","09/01/2024 08:48:17","Windows 10 Pro",
"DTIPC027","10.0.7.200","08/01/2024 07:52:51","Windows 10 Pro",
"DTVPC104","10.0.7.180","15/01/2024 08:15:13","Windows 10 Pro",
"DTVPC100","10.0.7.255","09/01/2024 08:48:48","Windows 10 Pro",
"DPCPPC008","10.0.7.133","08/01/2024 08:03:33","Windows 10 Pro",
"DDIPC002","10.0.7.121","11/01/2024 15:52:23","Windows 10 Pro",
"DTVPC105","10.0.7.228","09/01/2024 08:43:31","Windows 10 Pro",
"DCDPC020","10.0.8.18","23/11/2023 16:00:06","Windows 10 Pro",
"DTVPC130","10.0.8.3","09/01/2024 08:32:30","Windows 10 Pro",
"DVDPC017","10.0.7.235","10/01/2024 14:44:06","Windows 10 Pro",
"DTVPC150","10.0.7.209","09/01/2024 08:51:43","Windows 10 Pro",
"DTVPC117","10.0.7.178","15/01/2024 15:35:06","Windows 10 Pro",
"DDIRMA001","10.1.7.27","15/01/2024 07:40:56","Windows 10 Pro",
"DTVPC109","10.0.7.195","09/01/2024 08:22:26","Windows 10 Pro",
"DTVPC107","10.0.7.71","27/07/2022 09:23:57","Windows 10 Pro",
"DTVPC103","10.0.7.215","09/01/2024 08:16:10","Windows 10 Pro",
"DAUPC002","10.0.7.231","16/01/2024 08:27:34","Windows 10 Pro",
"DBKPC016","10.0.7.159","09/11/2023 12:46:06","Windows 10 Pro",
"DTVPC116","10.0.7.106","09/01/2024 04:59:10","Windows 10 Pro",
"DTVPC129","10.0.7.169","25/09/2023 10:07:30","Windows 10 Pro",
"DTVPC140","10.0.7.217","08/01/2024 08:46:26","Windows 10 Pro",
"DTVPC124","10.0.8.13","29/05/2023 08:44:52","Windows 10 Pro",
"DESKTOP-JPS98B0",,"24/02/2017 14:14:39","Windows 10 Pro",
"DJRPC002","10.0.7.162","15/01/2024 10:18:39","Windows 10 Pro",
"DTIPC102","10.0.7.183","15/06/2023 08:04:42","Windows 10 Pro",
"DLGPC007",,"05/03/2018 17:23:27","Windows 10 Pro",
"DTVPC145","10.0.7.158","08/01/2024 17:07:49","Windows 10 Pro",
"DRHPC006","10.0.7.244","09/01/2024 07:51:47","Windows 10 Pro",
"DTIPC023","10.0.7.199","06/01/2024 20:01:30","Windows 10 Pro",
"DTVPC118","10.0.7.205","13/01/2024 09:21:27","Windows 10 Pro",
"DPCPPC001","10.0.7.232","08/01/2024 08:14:49","Windows 10 Pro",
"DPRPC004","10.0.7.247","09/01/2024 08:00:25","Windows 10 Pro",
"DVDPC015","10.0.7.173","15/01/2024 11:12:06","Windows 10 Pro",
"DTVPC143","10.0.7.235","12/12/2023 08:48:50","Windows 10 Pro",
"DTVPC126","10.0.7.220","08/01/2024 08:50:25","Windows 10 Pro",
"DPRCPC003","10.0.7.197","09/01/2024 07:54:30","Windows 10 Pro",
"DMKPC002","10.0.7.238","09/01/2024 11:42:33","Windows 10 Pro",
"DQUPC003","10.0.7.107","08/01/2024 08:03:23","Windows 10 Pro",
"DGIPC001","10.0.7.204","09/01/2024 07:43:27","Windows 10 Pro",
"DPCPPC007","10.0.7.219","09/01/2024 07:08:42","Windows 10 Pro",
"DPRPC012","10.0.7.203","15/01/2024 15:45:26","Windows 10 Pro",
"DVDPC016","10.0.7.226","15/01/2024 09:16:28","Windows 10 Pro",
"DLGPC010","10.0.7.139","15/01/2024 08:17:45","Windows 10 Pro",
"DQDPC005","10.0.7.225","15/01/2024 08:10:12","Windows 10 Pro",
"DMKPC008","10.0.7.233","15/01/2024 07:53:52","Windows 10 Pro",
"DFTPC002","10.0.7.174","09/01/2024 08:11:19","Windows 10 Pro",
"DCOPC003","10.0.8.2","15/01/2024 07:50:44","Windows 10 Pro",
"DRHPC008","10.0.7.149","09/01/2024 07:46:34","Windows 10 Pro",
"DPDPC016","10.0.7.118","09/01/2024 05:02:35","Windows 10 Pro",
"DPRPC015","10.0.7.176","09/01/2024 07:57:27","Windows 10 Pro",
"DTVPC135","10.0.7.152","09/01/2024 08:44:35","Windows 10 Pro",
"DTIPC028","10.0.7.78","09/01/2024 07:05:09","Windows 10 Pro",
"DTVPC106","10.0.7.165","04/01/2024 07:46:10","Windows 10 Pro",
"DPDPC002","10.0.7.153","09/01/2024 07:39:43","Windows 10 Pro",
"DCDPC022","10.0.7.251","15/01/2024 09:00:49","Windows 10 Pro",
"DCDPC016","10.0.7.227","15/01/2024 17:33:00","Windows 10 Pro",
"DGNPC007","10.0.7.36","12/01/2024 08:26:20","Windows 10 Pro",
"DVDPC002","10.0.7.156","16/01/2024 10:37:28","Windows 10 Pro",
"DTVPC157","10.0.8.10","09/01/2024 08:21:33","Windows 10 Pro",
"DALPC009","10.0.7.253","09/01/2024 07:55:04","Windows 10 Pro",
